	filename	accession	phagename
0	GCA_021090665.1_ASM2109066v1_genomic.fna	MZ417315.1	PG-2021_10
1	GCA_021090675.1_ASM2109067v1_genomic.fna	MZ417316.1	PG-2021_12
2	GCA_021090685.1_ASM2109068v1_genomic.fna	MZ417317.1	PG-2021_14
3	GCA_021090695.1_ASM2109069v1_genomic.fna	MZ417318.1	PG-2021_15
4	GCA_021090705.1_ASM2109070v1_genomic.fna	MZ417319.1	PG-2021_16
5	GCA_021090715.1_ASM2109071v1_genomic.fna	MZ417320.1	PG-2021_17
6	GCA_021090725.1_ASM2109072v1_genomic.fna	MZ417321.1	PG-2021_18
7	GCA_021090735.1_ASM2109073v1_genomic.fna	MZ417322.1	PG-2021_19
8	GCA_021090745.1_ASM2109074v1_genomic.fna	MZ417323.1	PG-2021_1
9	GCA_021090755.1_ASM2109075v1_genomic.fna	MZ417324.1	PG-2021_22
10	GCA_021090765.1_ASM2109076v1_genomic.fna	MZ417325.1	PG-2021_23
11	GCA_021090775.1_ASM2109077v1_genomic.fna	MZ417326.1	PG-2021_27
12	GCA_021090785.1_ASM2109078v1_genomic.fna	MZ417327.1	PG-2021_29
13	GCA_021090795.1_ASM2109079v1_genomic.fna	MZ417328.1	PG-2021_2
14	GCA_021090805.1_ASM2109080v1_genomic.fna	MZ417329.1	PG-2021_31
15	GCA_021090815.1_ASM2109081v1_genomic.fna	MZ417330.1	PG-2021_33
16	GCA_021090825.1_ASM2109082v1_genomic.fna	MZ417331.1	PG-2021_35
17	GCA_021090835.1_ASM2109083v1_genomic.fna	MZ417332.1	PG-2021_38
18	GCA_021090845.1_ASM2109084v1_genomic.fna	MZ417333.1	PG-2021_40
19	GCA_021090855.1_ASM2109085v1_genomic.fna	MZ417334.1	PG-2021_41
20	GCA_021090865.1_ASM2109086v1_genomic.fna	MZ417335.1	PG-2021_43
21	GCA_021090875.1_ASM2109087v1_genomic.fna	MZ417336.1	PG-2021_46
22	GCA_021090885.1_ASM2109088v1_genomic.fna	MZ417337.1	PG-2021_47
23	GCA_021090895.1_ASM2109089v1_genomic.fna	MZ417338.1	PG-2021_4
24	GCA_021090905.1_ASM2109090v1_genomic.fna	MZ417339.1	PG-2021_5
25	GCA_021090915.1_ASM2109091v1_genomic.fna	MZ417340.1	PG-2021_64
26	GCA_021090925.1_ASM2109092v1_genomic.fna	MZ417341.1	PG-2021_67
27	GCA_021090935.1_ASM2109093v1_genomic.fna	MZ417342.1	PG-2021_68
28	GCA_021090945.1_ASM2109094v1_genomic.fna	MZ417343.1	PG-2021_74
29	GCA_021090955.1_ASM2109095v1_genomic.fna	MZ417344.1	PG-2021_76
30	GCA_021090965.1_ASM2109096v1_genomic.fna	MZ417345.1	PG-2021_84
31	GCA_021090975.1_ASM2109097v1_genomic.fna	MZ417346.1	PG-2021_86
32	GCA_021090985.1_ASM2109098v1_genomic.fna	MZ417347.1	PG-2021_87
33	GCA_021090995.1_ASM2109099v1_genomic.fna	MZ417348.1	PG-2021_88
34	GCA_021091005.1_ASM2109100v1_genomic.fna	MZ417349.1	PG-2021_89
35	GCA_021091015.1_ASM2109101v1_genomic.fna	MZ417350.1	PG-2021_8
36	GCA_021091025.1_ASM2109102v1_genomic.fna	MZ417351.1	PG-2021_90
37	GCA_021091035.1_ASM2109103v1_genomic.fna	MZ417352.1	PG-2021_91
38	GCA_021091045.1_ASM2109104v1_genomic.fna	MZ417353.1	PG-2021_93
39	GCA_021091055.1_ASM2109105v1_genomic.fna	MZ417354.1	PG-2021_9
